Date,Open,High,Low,Close
09/14/2022,"3.202%","3.271%","3.125%","3.207%"
09/13/2022,"3.091%","3.284%","3.020%","3.202%"
09/12/2022,"3.043%","3.091%","2.935%","3.091%"
09/09/2022,"3.029%","3.054%","2.955%","3.043%"
09/08/2022,"3.016%","3.044%","2.945%","3.029%"
09/07/2022,"3.003%","3.055%","2.920%","3.016%"
09/06/2022,"2.904%","3.003%","2.813%","2.940%"
09/05/2022,"2.904%","2.904%","2.838%","2.904%"
09/02/2022,"2.936%","2.944%","2.820%","2.904%"
09/01/2022,"2.931%","2.964%","2.850%","2.936%"
08/31/2022,"2.913%","2.947%","2.843%","2.931%"
08/30/2022,"2.889%","2.937%","2.823%","2.913%"
08/29/2022,"2.835%","2.894%","2.763%","2.884%"
08/26/2022,"2.805%","2.859%","2.730%","2.859%"
08/25/2022,"2.777%","2.810%","2.708%","2.805%"
08/24/2022,"2.721%","2.798%","2.665%","2.777%"
08/23/2022,"2.735%","2.777%","2.663%","2.721%"
08/22/2022,"2.666%","2.750%","2.595%","2.735%"
08/19/2022,"2.651%","2.678%","2.585%","2.666%"
08/18/2022,"2.628%","2.653%","2.565%","2.651%"
08/17/2022,"2.646%","2.687%","2.573%","2.628%"
08/16/2022,"2.591%","2.677%","2.525%","2.646%"
08/15/2022,"2.560%","2.594%","2.493%","2.576%"
08/12/2022,"2.548%","2.578%","2.490%","2.510%"
08/11/2022,"2.597%","2.597%","2.483%","2.548%"
08/10/2022,"2.618%","2.641%","2.523%","2.597%"
08/09/2022,"2.535%","2.620%","2.522%","2.618%"
08/08/2022,"2.504%","2.545%","2.430%","2.535%"
08/05/2022,"2.438%","2.522%","2.380%","2.504%"
08/04/2022,"2.487%","2.494%","2.390%","2.438%"
08/03/2022,"2.497%","2.528%","2.425%","2.487%"
08/02/2022,"2.340%","2.510%","2.293%","2.497%"
08/01/2022,"2.371%","2.388%","2.288%","2.337%"
07/29/2022,"2.369%","2.391%","2.310%","2.371%"
07/28/2022,"2.415%","2.453%","2.303%","2.369%"
07/27/2022,"2.507%","2.535%","2.358%","2.415%"
07/26/2022,"2.468%","2.528%","2.420%","2.507%"
07/25/2022,"2.425%","2.491%","2.358%","2.468%"
07/22/2022,"2.438%","2.463%","2.353%","2.425%"
07/21/2022,"2.469%","2.484%","2.385%","2.438%"
07/20/2022,"2.484%","2.505%","2.408%","2.469%"
07/19/2022,"2.327%","2.497%","2.283%","2.484%"
07/18/2022,"2.340%","2.409%","2.280%","2.327%"
07/15/2022,"2.356%","2.404%","2.260%","2.340%"
07/14/2022,"2.369%","2.456%","2.290%","2.356%"
07/13/2022,"2.030%","2.392%","1.993%","2.369%"
07/12/2022,"2.032%","2.177%","1.980%","2.030%"
07/11/2022,"1.917%","2.038%","1.845%","2.032%"
07/08/2022,"1.913%","1.958%","1.865%","1.917%"
07/07/2022,"1.900%","1.936%","1.830%","1.913%"
07/06/2022,"1.685%","1.908%","1.655%","1.900%"
07/05/2022,"1.674%","1.725%","1.630%","1.685%"
07/04/2022,"1.674%","1.674%","1.645%","1.674%"
07/01/2022,"1.672%","1.705%","1.623%","1.674%"
06/30/2022,"1.723%","1.754%","1.633%","1.672%"
06/29/2022,"1.736%","1.800%","1.693%","1.723%"
06/28/2022,"1.669%","1.757%","1.640%","1.736%"
06/27/2022,"1.664%","1.682%","1.625%","1.669%"
06/24/2022,"1.601%","1.685%","1.550%","1.664%"
06/23/2022,"1.562%","1.619%","1.525%","1.601%"
06/22/2022,"1.642%","1.680%","1.528%","1.562%"
06/21/2022,"1.608%","1.642%","1.520%","1.642%"
06/20/2022,"1.608%","1.608%","1.543%","1.608%"
06/17/2022,"1.537%","1.611%","1.425%","1.608%"
06/16/2022,"1.634%","1.790%","1.450%","1.450%"
06/15/2022,"1.787%","1.810%","1.605%","1.634%"
06/14/2022,"1.623%","1.795%","1.518%","1.787%"
06/13/2022,"1.338%","1.641%","1.253%","1.623%"
06/10/2022,"1.271%","1.353%","1.240%","1.338%"
06/09/2022,"1.259%","1.284%","1.230%","1.269%"
06/08/2022,"1.215%","1.282%","1.178%","1.259%"
06/07/2022,"1.210%","1.271%","0.750%","1.215%"
06/06/2022,"1.185%","1.220%","1.138%","1.210%"
06/03/2022,"1.144%","1.190%","1.115%","1.185%"
06/02/2022,"1.139%","1.157%","1.108%","1.144%"
06/01/2022,"1.067%","1.154%","1.050%","1.139%"
05/31/2022,"1.060%","1.080%","1.043%","1.067%"
05/30/2022,"1.057%","1.060%","1.040%","1.060%"
05/27/2022,"1.065%","1.080%","1.030%","1.057%"
05/26/2022,"1.070%","1.083%","1.035%","1.065%"
05/25/2022,"1.065%","1.080%","1.033%","1.070%"
05/24/2022,"1.029%","1.073%","1.008%","1.065%"
05/23/2022,"1.027%","1.034%","0.990%","1.029%"
05/20/2022,"1.019%","1.047%","1.000%","1.027%"
05/19/2022,"1.024%","1.057%","0.993%","1.020%"
05/18/2022,"1.065%","1.075%","1.008%","1.053%"
05/17/2022,"1.019%","1.078%","1.003%","1.065%"
05/16/2022,"0.986%","1.032%","0.940%","0.955%"
05/13/2022,"0.948%","1.016%","0.913%","0.986%"
05/12/2022,"0.915%","0.955%","0.878%","0.933%"
05/11/2022,"0.907%","0.927%","0.875%","0.895%"
05/10/2022,"0.825%","0.922%","0.813%","0.907%"
05/09/2022,"0.838%","0.859%","0.795%","0.830%"
05/06/2022,"0.823%","0.853%","0.785%","0.838%"
05/05/2022,"0.884%","0.904%","0.810%","0.890%"
05/04/2022,"0.917%","0.963%","0.833%","0.897%"
05/03/2022,"0.797%","0.927%","0.782%","0.798%"
05/02/2022,"0.836%","0.848%","0.780%","0.835%"
04/29/2022,"0.828%","0.861%","0.803%","0.808%"
04/28/2022,"0.836%","0.848%","0.793%","0.815%"
04/27/2022,"0.833%","0.856%","0.810%","0.832%"
04/26/2022,"0.823%","0.892%","0.810%","0.815%"
04/25/2022,"0.808%","0.833%","0.793%","0.810%"
04/22/2022,"0.803%","0.846%","0.790%","0.815%"
04/21/2022,"0.833%","0.848%","0.790%","0.815%"
04/20/2022,"0.836%","0.866%","0.772%","0.820%"
04/19/2022,"0.775%","0.854%","0.758%","0.762%"
04/18/2022,"0.780%","0.787%","0.760%","0.767%"
04/15/2022,"0.780%","0.780%","0.768%","0.767%"
04/14/2022,"0.738%","0.798%","0.738%","0.750%"
04/13/2022,"0.747%","0.762%","0.720%","0.749%"
04/12/2022,"0.719%","0.775%","0.706%","0.747%"
04/11/2022,"0.688%","0.729%","0.675%","0.690%"
04/08/2022,"0.683%","0.706%","0.665%","0.678%"
04/07/2022,"0.681%","0.696%","0.660%","0.673%"
04/06/2022,"0.668%","0.691%","0.635%","0.658%"
04/05/2022,"0.563%","0.673%","0.555%","0.650%"
04/04/2022,"0.518%","0.574%","0.508%","0.564%"
04/01/2022,"0.515%","0.530%","0.490%","0.515%"
03/31/2022,"0.550%","0.558%","0.510%","0.513%"
03/30/2022,"0.560%","0.569%","0.530%","0.538%"
03/29/2022,"0.533%","0.625%","0.533%","0.553%"
03/28/2022,"0.528%","0.556%","0.508%","0.543%"
03/25/2022,"0.493%","0.551%","0.490%","0.536%"
03/24/2022,"0.495%","0.541%","0.468%","0.505%"
03/23/2022,"0.508%","0.531%","0.480%","0.483%"
03/22/2022,"0.508%","0.548%","0.455%","0.495%"
03/21/2022,"0.406%","0.490%","0.378%","0.485%"
03/18/2022,"0.383%","0.414%","0.360%","0.406%"
03/17/2022,"0.458%","0.464%","0.380%","0.398%"
03/16/2022,"0.453%","0.480%","0.415%","0.439%"
03/15/2022,"0.455%","0.467%","0.403%","0.459%"
03/14/2022,"0.380%","0.462%","0.373%","0.462%"
03/11/2022,"0.378%","0.396%","0.370%","0.386%"
03/10/2022,"0.375%","0.411%","0.370%","0.383%"
03/09/2022,"0.365%","0.388%","0.353%","0.381%"
03/08/2022,"0.323%","0.381%","0.315%","0.365%"
03/07/2022,"0.323%","0.350%","0.320%","0.327%"
03/04/2022,"0.348%","0.358%","0.320%","0.327%"
03/03/2022,"0.333%","0.358%","0.328%","0.348%"
03/02/2022,"0.320%","0.365%","0.315%","0.333%"
03/01/2022,"0.670%","0.682%","0.310%","0.325%"
02/28/2022,"0.315%","0.682%","0.298%","0.682%"
02/25/2022,"0.320%","0.345%","0.290%","0.320%"
02/24/2022,"0.360%","0.414%","0.293%","0.320%"
02/23/2022,"0.358%","0.388%","0.330%","0.355%"
02/22/2022,"0.345%","0.363%","0.330%","0.353%"
02/21/2022,"0.345%","0.350%","0.345%","0.345%"
02/18/2022,"0.360%","0.381%","0.340%","0.350%"
02/17/2022,"0.388%","0.401%","0.358%","0.365%"
02/16/2022,"0.413%","0.424%","0.388%","0.393%"
02/15/2022,"0.416%","0.437%","0.383%","0.413%"
02/14/2022,"0.358%","0.457%","0.350%","0.410%"
02/11/2022,"0.403%","0.424%","0.353%","0.363%"
02/10/2022,"0.275%","0.411%","0.273%","0.409%"
02/09/2022,"0.274%","0.287%","0.265%","0.279%"
02/08/2022,"0.226%","0.287%","0.218%","0.270%"
02/07/2022,"0.233%","0.251%","0.220%","0.226%"
02/04/2022,"0.205%","0.246%","0.198%","0.233%"
02/03/2022,"0.198%","0.211%","0.190%","0.205%"
02/02/2022,"0.198%","0.211%","0.193%","0.198%"
02/01/2022,"0.223%","0.233%","0.185%","0.200%"
01/31/2022,"0.195%","0.226%","0.185%","0.226%"
01/28/2022,"0.203%","0.211%","0.190%","0.198%"
01/27/2022,"0.193%","0.213%","0.190%","0.203%"
01/26/2022,"0.193%","0.200%","0.188%","0.195%"
01/25/2022,"0.167%","0.200%","0.165%","0.190%"
