Date,Close
2020-09-14,0.112
2020-09-15,0.112
2020-09-16,0.11
2020-09-17,0.094
2020-09-18,0.096
2020-09-21,0.099
2020-09-22,0.096
2020-09-23,0.099
2020-09-24,0.101
2020-09-25,0.101
2020-09-28,0.102
2020-09-29,0.097
2020-09-30,0.107
2020-10-01,0.094
2020-10-02,0.094
2020-10-05,0.094
2020-10-06,0.098
2020-10-07,0.093
2020-10-08,0.095
2020-10-09,0.109
2020-10-11,0.109
2020-10-13,0.098
2020-10-14,0.114
2020-10-15,0.104
2020-10-16,0.107
2020-10-19,0.096
2020-10-20,0.1
2020-10-21,0.093
2020-10-22,0.091
2020-10-23,0.094
2020-10-26,0.095
2020-10-27,0.095
2020-10-28,0.097
2020-10-29,0.089
2020-10-30,0.097
2020-11-02,0.09
2020-11-03,0.096
2020-11-04,0.099
2020-11-05,0.098
2020-11-06,0.096
2020-11-09,0.103
2020-11-10,0.1
2020-11-12,0.093
2020-11-13,0.09
2020-11-16,0.093
2020-11-17,0.085
2020-11-18,0.085
2020-11-19,0.066
2020-11-20,0.066
2020-11-23,0.092
2020-11-24,0.09
2020-11-25,0.09
2020-11-27,0.092
2020-11-30,0.091
2020-12-01,0.086
2020-12-02,0.085
2020-12-03,0.083
2020-12-04,0.084
2020-12-07,0.09
2020-12-08,0.078
2020-12-09,0.073
2020-12-10,0.076
2020-12-11,0.076
2020-12-14,0.068
2020-12-15,0.079
2020-12-16,0.08
2020-12-17,0.088
2020-12-18,0.081
2020-12-21,0.089
2020-12-22,0.089
2020-12-23,0.085
2020-12-24,0.091
2020-12-28,0.094
2020-12-29,0.095
2020-12-30,0.084
2020-12-31,0.079
2021-01-04,0.093
2021-01-05,0.084
2021-01-06,0.094
2021-01-07,0.091
2021-01-08,0.083
2021-01-11,0.089
2021-01-12,0.091
2021-01-13,0.089
2021-01-14,0.08
2021-01-15,0.091
2021-01-17,0.084
2021-01-19,0.088
2021-01-20,0.081
2021-01-21,0.084
2021-01-22,0.084
